;estimote 100ms;;;kontakt.io 100ms;;;estimote 950ms;;
Real Distance;Mean;Std.Deviation;Proxymity;Mean;Std.Deviation;Proxymity;Mean;Std. Deviation;Proxymity
20;13,29;1,01;3;5,10;0,38;3;3,16;0,00;3
15;7,65;0,91;3;4,94;0,22;3;2,89;0,19;2
10;11,65;1,00;3;3,18;0,09;3;2,27;0,18;2
9;7,64;0,13;3;1,94;0,06;2;1,64;0,18;2
8;7,77;0,72;3;2,82;0,16;3;2,91;0,08;2
7;9,13;1,85;3;2,36;0,03;3;2,51;0,03;2
6;11,95;1,18;3;2,10;0,04;2;1,50;0,19;2
5;5,11;0,52;3;2,06;0,04;2;1,14;0,14;2
4;3,05;0,17;3;1,83;0,10;2;0,68;0,12;2
3;2,68;0,25;3;2,02;0,06;3;0,67;0,06;2
2;2,20;0,21;3;0,90;0,01;2;0,86;0,16;2
1;1,44;0,17;2;1,04;0,04;2;0,11;0,02;1
0;0,07;0,03;1;0,40;0,02;2;0,04;0,01;1
